src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.2,172.18.0.3,63712,564,6,2026-06-04 00:35:54,2.0,56000000.0,1000000.0,500000.0,500000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,100,6,2026-06-04 00:35:54,2.0,56000000.0,1000000.0,500000.0,500000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,853,6,2026-06-04 00:35:54,3.0,37333333.333333336,666666.6666666666,333333.3333333333,333333.3333333333,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,54,6,2026-06-04 00:35:54,2.0,56000000.0,1000000.0,500000.0,500000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,600,6,2026-06-04 00:35:54,3.0,37333333.333333336,666666.6666666666,333333.3333333333,333333.3333333333,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,944,6,2026-06-04 00:35:54,1.0,112000000.0,2000000.0,1000000.0,1000000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,132,6,2026-06-04 00:35:54,2.0,56000000.0,1000000.0,500000.0,500000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,558,6,2026-06-04 00:35:54,1.0,112000000.0,2000000.0,1000000.0,1000000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,864,6,2026-06-04 00:35:54,1.0,112000000.0,2000000.0,1000000.0,1000000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
172.18.0.2,172.18.0.3,63712,902,6,2026-06-04 00:35:54,1.0,112000000.0,2000000.0,1000000.0,1000000.0,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.0,2.0,4.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,56.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,1,1,58,54
